PC4,OBJECTID,Aantal_adr,Aantal_mul,SHAPE_Leng,SHAPE_Area,GM_NAAM,A_VAC,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,WONING,WONVOOR45,WON_4564,WON_6574,WON_7584,WON_8594,WON_9504,WON_0514,WON_1524,WON_MRGEZ,P_KOOPWON,P_HUURWON,WON_HCORP,WON_NBEW,WOZWONING,UITKMINAOW,OAD,STED,ZORGINSTELLING,INW_ZORG,P_VAC,P_ZORG,P_65PL,P_4564,P_2544,P_1524,P_VROUW,P_UITKMINAOW,pred,diffLM,diffLM_inv,Id,pc4_z,pc4_bins
4873,1672,3309,1,0.220431253440143,0.001667589433893,Etten-Leur,1986,6065,3005,3060,800,660,1200,1850,1560,80,10,10,2755,875,975,180,715,2.2,2765,85,690,520,180,45,1010,140,95,605,70,30,725,70,289,395,1569,2,0,0,32.7452596867271,0,25.7213520197857,30.5028854080791,19.7856553998351,10.8821104699093,50.4534212695796,6.51277823577906,30.5261563246625,-2.22,2.22,120,-0.802749771106105,3
4874,1673,1341,1,0.273064340921437,0.001864276952149,Etten-Leur,873,2975,1470,1505,415,335,675,925,625,80,10,10,1320,395,460,95,365,2.2,1295,65,60,45,605,245,40,145,95,210,70,30,405,25,288,205,1235,3,1,60,29.3445378151261,2.01680672268908,21.0084033613445,31.0924369747899,22.6890756302521,11.2605042016807,50.5882352941176,6.89075630252101,27.2800762520309,-2.06,2.06,121,-0.749113343362567,3
4875,1674,1059,1,0.040884681489702,5.410924177e-05,Etten-Leur,707,1845,900,940,250,185,360,465,580,80,10,10,845,275,305,50,215,2.2,865,50,35,560,10,100,90,15,,180,70,30,210,30,249,120,1898,2,0,0,38.319783197832,0,31.4363143631436,25.2032520325203,19.5121951219512,10.0271002710027,50.9485094850949,6.50406504065041,33.4301982299837,-4.89,4.89,122,-1.69780765907639,2
4876,1675,3490,1,0.196748565401229,0.000874692863608,Etten-Leur,1888,6995,3405,3590,1205,725,1670,1870,1530,80,10,10,2945,860,985,230,855,2.3,3000,105,90,850,1310,30,115,230,270,460,60,40,870,65,257,500,1562,2,1,130,26.9907076483202,1.85847033595425,21.8727662616154,26.7333809864189,23.8741958541816,10.3645461043603,51.3223731236598,7.14796283059328,27.3326720581657,0.34,-0.34,123,0.0554330727905029,5
4877,1676,46,2,0.057877353843352,8.0475801688e-05,Etten-Leur,10,30,15,15,,0,10,10,5,80,,,15,5,5,,,2.1,5,,,,,,,,,,,,,,384,,404,5,0,0,33.3333333333333,0,16.6666666666667,33.3333333333333,33.3333333333333,0,50,,28.5276963130958,-4.81,4.81,124,-1.67098944520463,2
4878,1677,77,1,0.084225844572422,0.000166756702996,Etten-Leur,1,5,,,,0,0,0,0,,,,,,,,,2,,,,,,,,,,,,,,,,,276,5,0,0,20,0,0,0,0,0,,,19.2609276928529,-0.74,0.74,125,-0.306612814478378,4
4879,1678,652,1,0.105461967656802,0.000316998171821,Etten-Leur,41,175,90,85,25,20,35,70,25,90,10,,70,10,25,5,25,2.6,65,,5,5,,25,20,,,5,90,10,,,365,5,602,4,0,0,23.4285714285714,0,14.2857142857143,40,20,11.4285714285714,48.5714285714286,2.85714285714286,25.1278609878007,1.7,-1.7,126,0.511342708610576,5
4881,1679,4471,1,0.393863602933214,0.002235592036998,Zundert,2417,8075,4050,4025,1100,765,1885,2225,2100,80,10,10,3715,1295,1295,195,915,2.1,3790,315,720,695,740,345,385,405,185,765,70,30,730,185,263,475,857,4,1,245,29.9318885448916,3.03405572755418,26.0061919504644,27.5541795665635,23.343653250774,9.47368421052632,49.8452012383901,5.88235294117647,30.3129785916549,0.38,-0.38,127,0.0688421797263874,5
4882,1680,1029,1,0.363315892304343,0.00318261627608,Zundert,597,2430,1285,1145,325,355,475,915,365,90,10,0,920,180,320,50,375,2.6,925,140,100,65,75,445,35,30,35,25,90,10,50,45,350,75,281,5,1,55,24.5679012345679,2.26337448559671,15.0205761316872,37.6543209876543,19.5473251028807,14.6090534979424,47.119341563786,3.08641975308642,23.8272773149776,-0.74,0.74,128,-0.306612814478378,4
4884,1681,1499,1,0.304397185586149,0.002000997722306,Zundert,685,2975,1550,1425,360,345,695,1050,530,80,20,0,1350,450,465,55,375,2.2,1365,170,190,165,135,145,465,50,40,65,80,20,65,145,265,165,190,5,0,0,23.0252100840336,0,17.8151260504202,35.2941176470588,23.3613445378151,11.5966386554622,47.8991596638655,5.54621848739496,25.8260869972789,2.8,-2.8,129,0.880093149347399,6
